Year,gold_oz_usd_price
1968,38.8975
1969,41.276666666666664
1970,35.915
1971,40.8015
1972,58.5
1973,97.30904761904762
1974,159.0075
1975,161.5925
1976,123.66666666666667
1977,148.3547619047619
1978,193.6575
1979,309.65714285714284
1980,607.3071428571429
1981,455.23809523809524
1982,374.4235
1983,420.5785714285714
1984,359.5095238095238
1985,319.3325
1986,365.735
1987,448.09285714285716
1988,433.6625
1989,379.98249999999996
1990,382.32142857142856
1991,360.9875
1992,344.3333333333333
1993,362.9575
1994,385.4666666666667
1995,383.16999999999996
1996,386.97249999999997
1997,333.165
1998,295.49523809523805
1999,279.055
2000,277.2725
2001,270.51428571428573
2002,309.735
2003,363.6190476190476
2004,410.39285714285717
2005,446.39761904761906
2006,607.5
2007,698.0285714285715
2008,879.742857142857
2009,977.2142857142857
2010,1229.5375
2011,1567.547619047619
2012,1667.297619047619
2013,1418.525
2014,1256.5238095238096
2015,1155.152380952381
2016,1248.54
2017,1258.2454545454545
2018,1268.3863636363637
2019,1393.8799999999999
2020,1778.0578260869565
2021,1803.514347826087
2022,1797.9008695652174
2023,1949.5465217391304
2024,2260.7993333333334
